D11-00:00,0.52,0
D11-00:05,0.47,0
D11-00:10,0.43,0
D11-00:15,0.40,0
D11-00:20,0.38,0
D11-00:25,0.36,0
D11-00:30,0.34,0
D11-00:35,0.32,0
D11-00:40,0.31,0
D11-00:45,0.30,0
D11-00:50,0.29,0
D11-00:55,0.29,0
D11-01:00,0.29,0
D11-01:05,0.27,0
D11-01:10,0.26,0
D11-01:15,0.25,0
D11-01:20,0.24,0
D11-01:25,0.23,0
D11-01:30,0.22,0
D11-01:35,0.22,0
D11-01:40,0.21,0
D11-01:45,0.20,0
D11-01:50,0.19,0
D11-01:55,0.18,0
D11-02:00,0.18,0
D11-02:05,0.18,0
D11-02:10,0.17,0
D11-02:15,0.17,0
D11-02:20,0.17,0
D11-02:25,0.16,0
D11-02:30,0.16,0
D11-02:35,0.15,0
D11-02:40,0.15,0
D11-02:45,0.14,0
D11-02:50,0.14,0
D11-02:55,0.14,0
D11-03:00,0.14,0
D11-03:05,0.14,0
D11-03:10,0.14,0
D11-03:15,0.14,0
D11-03:20,0.13,0
D11-03:25,0.13,0
D11-03:30,0.13,0
D11-03:35,0.13,0
D11-03:40,0.13,0
D11-03:45,0.12,0
D11-03:50,0.13,0
D11-03:55,0.12,0
D11-04:00,0.12,0
D11-04:05,0.12,0
D11-04:10,0.13,0
D11-04:15,0.12,0
D11-04:20,0.12,0
D11-04:25,0.13,0
D11-04:30,0.13,0
D11-04:35,0.13,0
D11-04:40,0.13,0
D11-04:45,0.13,0
D11-04:50,0.13,0
D11-04:55,0.13,0
D11-05:00,0.14,0
D11-05:05,0.15,0
D11-05:10,0.15,0
D11-05:15,0.16,0
D11-05:20,0.16,0
D11-05:25,0.17,0
D11-05:30,0.18,0
D11-05:35,0.19,0
D11-05:40,0.20,0
D11-05:45,0.22,0
D11-05:50,0.23,0
D11-05:55,0.24,0
D11-06:00,0.26,0
D11-06:05,0.28,0
D11-06:10,0.30,0
D11-06:15,0.31,0
D11-06:20,0.33,0
D11-06:25,0.34,0
D11-06:30,0.35,0
D11-06:35,0.38,0
D11-06:40,0.38,0
D11-06:45,0.39,0
D11-06:50,0.39,0
D11-06:55,0.40,0
D11-07:00,0.41,0
